authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,tracks,n_tracks,relevance_note
David Landry et al.,2026.0,STIPP: Space-time in situ postprocessing over the French Alps using proper scoring rules,arXiv preprint,,2601.02882,,True,AI models,1,STIPP: space-time in-situ postprocessing at STATION locations using proper scoring rules; makes hourly ensembles from a 6-hourly deterministic forecast. Closest method template to your station-level task.
Yingkai Sha et al.,2026.0,AI-Based Regional Emulation for Kilometer-Scale Dynamical Downscaling,arXiv preprint,,2602.18646,,True,Deep downscaling,1,"AI limited-area emulator trained on ERA5 0.25 deg 3-hourly forcings against 4 km hourly CONUS404, generalising to a 1.0 deg non-ERA5 forcing. Preprint; shows what a full AI dynamical-downscaling emulator costs and requires."
You Wu et al.,2026.0,From AI Weather Prediction to Infrastructure Resilience: A Real-Time Correction-Downscaling Framework for Tropical Cyclone Impact Forecasting,arXiv preprint,,2603.12828,,True,Deep downscaling,1,"Real-time correction-plus-downscaling of AI forecasts to 500 m wind fields for typhoon impact, reporting a 38.8% reduction in station-scale wind-speed MAE relative to Pangu-Weather and roughly 25 s per 12-h cycle on a SINGLE GPU. The clearest evidence that a correct-then-downscale pipeline is feasible on modest hardware. Preprint 2026."
Paula Harder et al.,2026.0,AIFS-COMPO: A Global Data-Driven Atmospheric Composition Forecasting System,arXiv preprint,,2604.033,,True,AI models,1,AIFS-COMPO atmospheric composition — evidence of the modular Anemoi/AIFS ecosystem you could build on.
Joffrey Dumont Le Brazidec et al.,2026.0,Downscaling weather forecasts from Low- to High-Resolution with Diffusion Models,arXiv preprint,,2604.03303,,True,AI models,1,"Dumont Le Brazidec et al.: diffusion downscaling of IFS ensembles 100 km -> 30 km via residual learning; reproduces target power spectra at small scales, physically consistent wind-pressure coupling."
Hannah Guan et al.,2026.0,Enhancing AI and Dynamical Subseasonal Forecasts with Probabilistic Bias Correction,arXiv preprint,,2604.16238,,True,Deep downscaling,1,"Probabilistic bias correction applied to ECMWF's leading dynamical and AI models, reported to double AIFS subseasonal skill. Preprint 2026; relevant as the pure-postprocessing upper bound."
Sara Hahner et al.,2026.0,Representing the Surface Ocean in ECMWF's data-driven forecasting system AIFS,arXiv preprint,,2604.25559,,True,AI models,1,AIFS ocean/wave/sea-ice coupling — matters for the Baltic/Barents/White Sea part of your box.
Amy McGovern et al.,2026.0,Extreme Weather Bench: A framework and benchmark for evaluation of high-impact weather,arXiv preprint,,2605.01126,,True,AI models,1,Extreme Weather Bench: community benchmark for high-impact weather; the verification framework to adopt rather than invent.
Ewan Pinnington et al.,2026.0,AIFS-DOP: End-to-End Medium-Range Weather Prediction from Observations Alone with Machine Learning,arXiv preprint,,2606.19093,,True,AI models,1,"AIFS-DOP: trained on gridded OBSERVATIONS alone, no reanalysis — directly relevant to your finding that ERA5 assimilates your stations."
Tobias Biegert et al.,2026.0,Towards Fair Comparisons of AI- and Physics-Based Weather Models for Extreme Events via the Weighted Potential CRPS,,,2606.2117,,True,Verification,1,Weighted potential CRPS for fair comparison of AI and physics-based models on extreme events; the current frontier of this argument.
Jakob Schloer et al.,2026.0,AIFS-SUBS: Extending Data-Driven Forecasting to Sub-Seasonal Timescales,arXiv preprint,,2607.051,,True,AI models,1,"AIFS-SUBS: sub-seasonal AIFS, weeks 2-6, ~200x less inference energy than IFS. Shows the AIFS family is expanding into your lead-time range."
Magnus Sikora Ingstad et al.,2026.0,HourGlass: A probabilistic data-driven temporal downscaler for global and regional weather forecasting,arXiv preprint,,2607.11457,,True,AI models,1,HourGlass: probabilistic TEMPORAL downscaler applied to AIFS-Single and AIFS-ENS (and MET Norway's Bris). Notes deterministic temporal downscaling produces overly smooth fields.
Somnath Luitel et al.,2026.0,GraphCast Skill and Systematic Biases in Indian Summer Monsoon Forecasts: Evaluation Against ERA5 and IMERG,arXiv preprint,,2607.11905,,True,AI models,1,"GraphCast Indian monsoon evaluation: regional power-spectrum variance ratio 0.14 vs IMERG, compressed rainfall intensity distribution — a clean quantification of deterministic smoothing."
Marvin Vincent Gabler et al.,2026.0,Do AI weather models miss extremes?,arXiv preprint,,2608.09972,,True,AI models,1,"Gabler et al., station-based (not reanalysis-based) extremes verification of 11 systems over Europe, 10 months. AIFS loses 4.9+/-2.0% in the heat tail; ALL models incl. NWP show a shared conditional bias toward the distribution centre. The single most relevant error-mode paper for station-based work."
Simon Lang; Mihai Alexe; Matthew Chantry; Jesper Dramsch; Florian Pinault; Baudouin Raoult et al.,2024.0,AIFS -- ECMWF's data-driven forecasting system,arXiv (preprint),arxiv:2406.01465,,,True,Regional,1,"AIFS - ECMWF's data-driven forecasting system. GNN encoder/decoder with sliding-window transformer processor, trained on ERA5 and ECMWF operational NWP analyses. Read first: this is the base model."
Nikolay Koldunov; Thomas Rackow; Christian Lessig; Sergey Danilov; Suvarchal K. Cheedela; Dmitry Sidorenko et al.,2024.0,Emerging AI-based weather prediction models as downscaling tools,arXiv (preprint),arxiv:2406.17977,,,True,Regional,1,Koldunov et al.: emerging AI-based weather prediction models AS DOWNSCALING TOOLS. The single most directly on-brief preprint - proposes using existing AI-NWP systems for downscaling rather than training from scratch.
Muhammad Akhtar Munir; Fahad Shahbaz Khan; Salman Khan,2024.0,Efficient Localized Adaptation of Neural Weather Forecasting: A Case Study in the MENA Region,arXiv (preprint),arxiv:2409.07585,,,True,Regional,1,Munir et al.: efficient LOCALIZED ADAPTATION of neural weather forecasting (MENA case study). Fine-tuning a global neural forecast to one region - the compute-feasible pattern for a 4 GB GPU.
Simon Lang; Mihai Alexe; Mariana C. A. Clare; Christopher Roberts; Rilwan Adewoyin; Zied Ben Bouallègue et al.,2024.0,AIFS-CRPS: Ensemble forecasting using a model trained with a loss function based on the Continuous Ranked Probability Score,arXiv (preprint),arxiv:2412.15832,,,True,Regional,1,AIFS-CRPS: ensemble variant trained directly on a CRPS-based loss. Relevant because the archive available is the 51-member AIFS ENS.
Jasper S. Wijnands; Michiel Van Ginderachter; Bastien François; Sophie Buurman; Piet Termonia; Dieter Van den Bleeken,2025.0,A comparison of stretched-grid and limited-area modelling for data-driven regional weather forecasting,arXiv (preprint),arxiv:2507.18378,,,True,Regional,1,"Wijnands et al.: stretched-grid vs limited-area data-driven regional forecasting with GNNs. The two architectural options for a regional AI model, and their boundary-condition trade-offs."
Gabriel Moldovan; Ewan Pinnington; Ana Prieto Nemesio; Simon Lang; Zied Ben Bouallègue; Jesper Dramsch et al.,2025.0,An update to ECMWF's machine-learned weather forecast model AIFS,arXiv (preprint),arxiv:2509.18994,,,True,Regional,1,"Update to AIFS Single: physical-consistency bounding layers substantially improve PRECIPITATION forecasts, plus expanded variable set. Matters given precipitation is the unverifiable variable locally."
